contractsymbol,lasttradedate,strike,lastprice,bid,ask,change,percentchange,volume,openinterest,impliedvolatility,inthemoney,contractsize,currency,option_type,ticker,expiration,valuation_date,mid,days_to_expiry,ttm,spot,moneyness
GOOG260410C00180000,2026-04-01 14:07:44+00:00,180.0,114.1,112.0,115.95,0.0,0.0,9.0,10,2.03906740234375,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,113.975,7,0.019178082191780823,294.4599914550781,0.6112884779712433
GOOG260410C00185000,2026-03-13 17:55:20+00:00,185.0,116.02,107.1,110.95,0.0,0.0,,60,1.9423831005859378,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,109.025,7,0.019178082191780823,294.4599914550781,0.6282687134704444
GOOG260410C00190000,2026-03-19 19:31:03+00:00,190.0,116.15,102.1,105.9,0.0,0.0,4.0,5,1.834961762695312,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,104.0,7,0.019178082191780823,294.4599914550781,0.6452489489696457
GOOG260410C00195000,2026-03-31 17:30:14+00:00,195.0,91.29,97.1,101.0,0.0,0.0,1.0,0,1.7685558447265624,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,99.05,7,0.019178082191780823,294.4599914550781,0.6622291844688468
GOOG260410C00200000,2026-03-30 14:31:21+00:00,200.0,73.33,92.1,96.0,0.0,0.0,1.0,2,1.677735986328125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,94.05,7,0.019178082191780823,294.4599914550781,0.6792094199680481
GOOG260410C00205000,2026-03-31 17:30:14+00:00,205.0,81.33,87.0,90.95,0.0,0.0,1.0,0,1.5776388305664062,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,88.975,7,0.019178082191780823,294.4599914550781,0.6961896554672492
GOOG260410C00210000,2026-03-06 17:03:17+00:00,210.0,90.28,82.0,86.0,0.0,0.0,1.0,1,1.501955615234375,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,84.0,7,0.019178082191780823,294.4599914550781,0.7131698909664504
GOOG260410C00225000,2026-03-31 17:23:50+00:00,225.0,69.05,67.4,70.85,7.4100037,12.0214205,1.0,31,1.2197304638671875,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,69.125,7,0.019178082191780823,294.4599914550781,0.7641105974640541
GOOG260410C00230000,2026-03-27 15:47:27+00:00,230.0,48.34,62.25,65.55,0.0,0.0,1.0,8,1.0786178881835937,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,63.9,7,0.019178082191780823,294.4599914550781,0.7810908329632552
GOOG260410C00235000,2026-03-19 15:23:03+00:00,235.0,69.47,57.25,60.55,0.0,0.0,,10,1.001958115234375,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,58.9,7,0.019178082191780823,294.4599914550781,0.7980710684624565
GOOG260410C00240000,2026-04-02 19:48:13+00:00,240.0,54.06,52.4,56.0,-0.44999695,-0.825531,3.0,58,1.0063526245117185,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,54.2,7,0.019178082191780823,294.4599914550781,0.8150513039616577
GOOG260410C00245000,2026-03-31 18:47:05+00:00,245.0,41.62,47.55,50.5,0.0,0.0,16.0,85,0.8425308715820312,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,49.025,7,0.019178082191780823,294.4599914550781,0.8320315394608588
GOOG260410C00250000,2026-04-02 18:53:04+00:00,250.0,45.16,42.2,46.15,-0.15000153,-0.3310561,2.0,51,0.8698743481445312,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,44.175,7,0.019178082191780823,294.4599914550781,0.8490117749600601
